Program,Classification,Command_Code,Description,Comments,Unnamed: 5
Anaconda,,conda info,Information on Program,,
Anaconda,,conda --version,Version of Program,,
Anaconda,,conda update conda,Update Program,,
Anaconda,,conda create -n py39 python=3.9,Create Environment,,
Anaconda,,conda activate TimeSeries39,Activate Environment,,
Anaconda,,conda install pandas=1.4.2 | conda install pandas,Install Package,,
Anaconda,,conda env remove -n py39,Delete Environment,,
Anaconda,,conda create --name newpy39 --clone py39,Create Environment from Exising Env,,
Anaconda,,conda env create -f BASE_REQUIREMENTS.yaml,Create Environment from YAML,,
Anaconda,,conda list,List Available Environments,,
Azure,,az login,Log into AKS,,
Azure,,az acr login --name w255mids,Log into ACR,,
Azure,,az account list --output table,Check which AKS Account,,
Azure,,"Log into Azure - az login
Set Subscription to Class - az account set --subscription=""0257ef73-2cbf-424a-af32-f3d41524e705""
Authenticate to the AKS cluster - az aks get-credentials --name w255-aks --resource-group w255 --overwrite-existing
az acr login --name w255mids",Signing in and Calibration Process,,
Debian,,,apt-get,Command-line-centric and might have a steeper learning curve for beginners.,
Debian,,,apt,"User-friendly and intuitive, providing a simpler interface.",
Docker,,docker run -it NAME /bin/sh,Run Image,,
Docker,,docker ps -a,Check Open Containers,,
Docker,,,Docker Image,"An image is a read-only template used to create containers, it contains the application code, runtime, system tools, libraries, and other dependencies required to run the application.",
Docker,,,Docker Container,"A container is a runnable instance of a Docker image, it encapsulates the application and its dependencies, ensuring consistency and isolation from the host system",
Docker,,docker stop CONTAINER_NAME,Stop Container,,
Docker,,docker remove CONTAINER_NAME,Delete Container,Remove a Docker Container,
Docker,,docker rmi IMAGE_NAME,Delete Image,Remove a Docker Image,
Docker,,docker build -t NAME .,Create Image,"Build a Docker Image. Note that the image build is environment specific, as such when buiding on a MAC and deploying to a Windows Machine or Linux, need to be mindful. docker build --platform linux/amd64 -t project .",
Docker,,docker exec -it my_container /bin/sh,,,
Docker,,ARG APP_DIR=/app,,Builds a Document in Docker in this case it is the argument /app,
Docker,,http://localhost:8000/docs,"Connect to Uvicorn, Via Docker",,
Docker,,"export PATH=""$HOME/.local/bin:$PATH""",Docker Image Creation,,
Docker,,docker run -d -p 8000:8000 w255_api,Run,Detached Mode,
Docker,,docker run -d --name temp-redis -p 6379:6379 redis,Create Redis Database,,
Docker,,docker tag project w255mids.azurecr.io/derekdewald/,Tag a Project with a Specific Name,"Must be mindful of issue of using, Latest. Specifically when needing to roll back.",
Docker,,docker push w255mids.azurecr.io/derekdewald/project:64293a0,Push Image to Repo,,
FastAPI,,,FastAPI,,
FastAPI,,,Test a Application End Point from Command Line,"curl -X POST \
  https://derekdewald.mids255.com/project/bulk-predict \
  -H 'Content-Type: application/json' \
  -d '{""text"": [""example 1"", ""example 2""]}'",
Git,,git clone,Clone Directory,"Type of Clone commands depends on authentication method, appears that the primary method is now SSH. git@github.com:derek-dewald/d_functions.git",
Git,,git status,Compare with Main Branch,,
Git,,git add,Include File to be Syncronized with Main Branch,"Variations in add ., add .*png, add .A-",
Git,,"git commit -m ""Include Message""",Commit to Main Branch,,
Git,,git push,Push To Main Branch,,
