Program,Classification,Command_Code,Description,Comments
Anaconda,TBD,conda info,Information on Program,
Anaconda,TBD,conda --version,Version of Program,
Anaconda,TBD,conda update conda,Update Program,
Anaconda,TBD,conda create -n py39 python=3.9,Create Environment,
Anaconda,TBD,conda activate TimeSeries39,Activate Environment,
Anaconda,TBD,conda install pandas=1.4.2 | conda install pandas,Install Package,
Anaconda,TBD,conda env remove -n py39,Delete Environment,
Anaconda,TBD,conda create --name newpy39 --clone py39,Create Environment from Exising Env,
Anaconda,TBD,conda env create -f BASE_REQUIREMENTS.yaml,Create Environment from YAML,
Anaconda,TBD,conda list,List Available Environments,
Azure,TBD,az login,Log into AKS,
Azure,TBD,az acr login --name w255mids,Log into ACR,
Azure,TBD,az account list --output table,Check which AKS Account,
Azure,TBD,"Log into Azure - az login
Set Subscription to Class - az account set --subscription=""0257ef73-2cbf-424a-af32-f3d41524e705""
Authenticate to the AKS cluster - az aks get-credentials --name w255-aks --resource-group w255 --overwrite-existing
az acr login --name w255mids",Signing in and Calibration Process,
Debian,TBD,,apt-get,Command-line-centric and might have a steeper learning curve for beginners.
Debian,TBD,,apt,"User-friendly and intuitive, providing a simpler interface."
Docker,TBD,docker run -it NAME /bin/sh,Run Image,
Docker,TBD,docker ps -a,Check Open Containers,
Docker,TBD,,Docker Image,"An image is a read-only template used to create containers, it contains the application code, runtime, system tools, libraries, and other dependencies required to run the application."
Docker,TBD,,Docker Container,"A container is a runnable instance of a Docker image, it encapsulates the application and its dependencies, ensuring consistency and isolation from the host system"
Docker,TBD,docker stop CONTAINER_NAME,Stop Container,
Docker,TBD,docker remove CONTAINER_NAME,Delete Container,Remove a Docker Container
Docker,TBD,docker rmi IMAGE_NAME,Delete Image,Remove a Docker Image
Docker,TBD,docker build -t NAME .,Create Image,"Build a Docker Image. Note that the image build is environment specific, as such when buiding on a MAC and deploying to a Windows Machine or Linux, need to be mindful. docker build --platform linux/amd64 -t project ."
Docker,TBD,docker exec -it my_container /bin/sh,,
Docker,TBD,ARG APP_DIR=/app,,Builds a Document in Docker in this case it is the argument /app
Docker,TBD,http://localhost:8000/docs,"Connect to Uvicorn, Via Docker",
Docker,TBD,"export PATH=""$HOME/.local/bin:$PATH""",Docker Image Creation,
Docker,TBD,docker run -d -p 8000:8000 w255_api,Run,Detached Mode
Docker,TBD,docker run -d --name temp-redis -p 6379:6379 redis,Create Redis Database,
Docker,TBD,docker tag project w255mids.azurecr.io/derekdewald/,Tag a Project with a Specific Name,"Must be mindful of issue of using, Latest. Specifically when needing to roll back."
Docker,TBD,docker push w255mids.azurecr.io/derekdewald/project:64293a0,Push Image to Repo,
FastAPI,TBD,,FastAPI,
FastAPI,TBD,,Test a Application End Point from Command Line,"curl -X POST \
  https://derekdewald.mids255.com/project/bulk-predict \
  -H 'Content-Type: application/json' \
  -d '{""text"": [""example 1"", ""example 2""]}'"
Git,TBD,git clone,Clone Directory,"Type of Clone commands depends on authentication method, appears that the primary method is now SSH. git@github.com:derek-dewald/d_functions.git"
Git,TBD,git status,Compare with Main Branch,
Git,TBD,git add,Include File to be Syncronized with Main Branch,"Variations in add ., add .*png, add .A-"
Git,TBD,"git commit -m ""Include Message""",Commit to Main Branch,
Git,TBD,git push,Push To Main Branch,
Git,TBD,,Rename Existing Folder,"Log into Git, go into Folder, Settings. Option to Rename"
Git,TBD,,Delete Exising Folder,"Log into Git, go into Folder, Settings. Option to Delete at Bottom after verification"
Git,TBD,git pull origin,Pull or Update from Main,
Git,TBD,git stash apply,Apply Stashed Changes,
Git,TBD,git stash,Stash Pending Changes,
Git,TBD,git pull --rebase,Apply updates to Repo,"If there is a conflict, it will alert, otherwise all Local and Remote Change will be applied."
Git,TBD,config pull.rebase true,Apply Updates to Repo,Change default setting to always apply this approach.
Hadoop,TBD,!hadoop jar {JAR_FILE},,!hadoop jar {JAR_FILE}: This command submits a Hadoop job using the specified JAR file. Replace {JAR_FILE} with the actual path to your MapReduce JAR file.
Hadoop,TBD,D mapreduce.job.output.key.comparator.class=org.apache.hadoop.mapreduce.lib.partition.KeyFieldBasedComparator,,"This sets the key comparator class to KeyFieldBasedComparator, which allows you to specify key-based sorting"
