Word,Category,Sub Categorization,Definition,Notes,Link,Image,Markdown Equation,Is Model,Learning Type,Algorithm Class
Accuracy,Machine Learning,Evaluation,Number of correctly classified examples divided by the total number of classified examples.,,,,$$ Accuracy = \frac{TP + TN}{TP + TN + FP + FN} $$,,,
Actions,Technology,Spark,"In Spark, actions trigger the execution of transformations and return a result to the driver. The collect action retrieves all elements of an RDD and brings them to the driver, while count returns the total number of elements in the RDD, and countByValue provides the frequency of each unique element. take retrieves the first N elements, top returns the largest N elements, and reduce applies a specified associative function to aggregate all the elements of the RDD into a single result.",,,,,,,
Activation Functions,,Activation Function,,,,https://raw.githubusercontent.com/derek-dewald/d_functions/main/images/ActivationFunctions.png,,,,
Acyclic Graph,Statistics,Definition,"A graph that does not contain any cycles. This means there is no path in the graph that starts from a node and eventually returns to the same node. There are 2 types of Acyclic Graphs, Directed and Undirected. ",,,,big,,,
Adadelta,Machine Learning,Optimization,Adaptive learning rate for nonstationary objectives.,,,,,,,
Adagrad,Machine Learning,Loss Optimization,"Variation of Gradient Descent, which adapts the learning rate for each parameter by scaling it inversely proportional to the sum of past squared gradients. 
",,,,"$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{G_t + \epsilon}} \nabla J(\theta_t)
$$

where:
- $( G_t = \sum_{i=1}^{t} \nabla J(\theta_i) \odot \nabla J(\theta_i) )$ (element-wise sum of squared gradients),
- $( \epsilon )$ is a small constant to prevent division by zero.",,,
Adagrad,Machine Learning,Optimization,Adapts learning rate per parameter. Good for sparse data.,,,,,,,
Adam,,Loss Optimization,"Variation of Gradient Descent, which combines both momentum and RMSprop, maintaining an exponentially decaying average of past gradients and squared gradients.",,,,"$$
m_t = \beta_1 m_{t-1} + (1 - \beta_1) \nabla J(\theta_t)
$$

$$
v_t = \beta_2 v_{t-1} + (1 - \beta_2) (\nabla J(\theta_t))^2
$$

Bias correction:

$$
\hat{m_t} = \frac{m_t}{1 - \beta_1^t}, \quad \hat{v_t} = \frac{v_t}{1 - \beta_2^t}
$$

Parameter update:

$$
\theta_{t+1} = \theta_t - \frac{\alpha}{\sqrt{\hat{v_t}} + \epsilon} \hat{m_t}
$$

where:
- $( m_t )$ and $( v_t )$ are the first and second moment estimates,
- $( beta_1)$ and $( beta_2 )$ control their decay rates (typically $( 0.9 )$ and $( 0.999 $) respectively).",,,
AdamW,Machine Learning,Optimization,"Variant of Adam with weight decay, prevents overfitting.",,,,,,,
Addition Rule,,,,,,,$$ P(A \cup B) = P(A) + P(B) - P(A \cap B) $$,,,
Adjacency Matrix,,,,,,,,,,
Adjusted Rand Score,,,,,,,,,,
Affine Layer,,,,,,,,,,
Agglomerative,,,,,,,,,,
alpha,Machine Learning,Hyperparameter,"Controls L1/L2 regularization strength in models like Ridge, Lasso, and Naive Bayes. Higher values reduce overfitting but may underfit.","[0.0001, 0.001, 0.01, 0.1, 1.0]",,,,,,
