Process,Categorization,Word,Definition
ML Definitions,Model Type,Types of ML,"Within the machine learning paradigm, models are commonly categorized into distinct model types that define how learning occurs. The appropriate model type is selected based on the problem context, data availability and quality, time constraints, business objectives, and resource limitations."
ML Model,Process,Definition,ML Models is a process designed to store records for all of the models.\
ML Project,Process Step,Problem Definition,"Define, Quantify and Articulate Problem."
ML Project,Process Step,Problem Definition,"Project Goal Explicitly stated in 3-4 Sentences, can include exclusion items in addendum, not in original statement, which sould be positive, optimistic and include a value creating definition."
ML Project,Process Step,Problem Definition,Explicilty Defined Business Delieverables
ML Project,Process Step,Problem Definition,Explicilty Defined Expected Outcomes and KPIs
ML Project,Process Step,Problem Definition,"Identify Model Baseline, or who is responsible for defining if not available."
ML Project,Process Step,Data Collection,Need to Create Definition and Requirements
ML Project,Process Step,Data Preparation,"Identify Data Elements which appear relevant (Can be either based on desired, or what is currently Available)."
ML Project,Process Step,Data Preparation,"Label, and Document all data elements in Model (Semantic, Functional, Business Definitions and Theoretircal Inclusion)"
ML Project,Process Step,Data Preparation,"Document data omissions, known data quality issues, or assumptions (including Imbalances)."
ML Project,Process Step,Data Preparation,"Document all Imputation, Deletion, Standardization to be applied."
ML Project,Process Step,Data Preparation,"Define Approach for Training, Testing and Validation. Create Final Dataset to proceed forward."
ML Project,Process Step,Data Preparation,Complete EDA on Dataset.
ML Project,Process Step,Exploratory Data Analysis,NNNNNNNEEEEEWWWWWWW .Needs comments.
ML Project,Process Step,Feature Engineering,"Create Aggregation Data, Rations, PCA, etc. Note these should be identified and defined in Data Prepartion, this is simple technical execution and creation."
ML Project,Process Step,Model Selection,"Define Models which will be included in Pipeline, include explanation as to explicitly what the Model does, why it is relevant for this problem and what it will solve as it relates to this problem. Where this differs across models, must explain and document the differences."
ML Project,Process Step,Model Selection,"Define how model will be evaluated, what metrics will be minimized (or maximized) balance between training results versus ability to generalize, balancing overfitting and performance."
ML Project,Process Step,Model Selection,"If certain models are not considered, explicitly state why, what would need ot change in order to review or reconsider this model and who in the business would be responsible for next steps where obvious omissions, data quality, process or procedure gaps exist."
ML Project,Consideration,Model Selection,Is your Data Structured in a way that is conducive to your Model.
ML Project,Consideration,Model Selection,"Any data set can be optimized, even when there is NO relation. It will generalize."
ML Project,Consideration,Model Selection,"An Example of this would a classification model with Wolves and Dogs,  many wolf photos happened to be taken in snowy environments, while dog photos were often taken indoors or on grass. The model learned to detect snow, not animals."
ML Project,Consideration,Model Selection,"Models will cheat and can solve problems which appear to be optimal, but they might not be solving what you expect or require, they might be finding patterns in the data which you do not see. An Example of this would a classification model with Wolves and Dogs,  many wolf photos happened to be taken in snowy environments, while dog photos were often taken indoors or on grass. The model learned to detect snow, not animals."
ML Project,Process Step,Model Selection,"Define how feature evaluation will occur, explicitly state KPIs and document how they relate to project delieverables, business goals and expected outcomes."
ML Project,Process Step,Feature Selection,"Create Pipeline which automates selection, or document where it will be manual for Cost/Benefit reasons."
ML Project,Consideration,Feature Selection,"Avoid ambigious features. Is a Banana ripe, who says so?"
ML Project,Consideration,Feature Selection,"Careful when something is truly random generated, Atmospheric Change, Earthquakes, Stocks. Very difficult, if not impossible to predict."
ML Project,Consideration,Feature Selection,"MNIST performance when tilting Images, of adding noise."
ML Project,Process Step,Training,Define Mock 0 Pipeline Once available. Insure to follow Standardized Amendment process once created. 
ML Project,Process Step,Hyperparameter Tuning,"Identify Paramaters before implementing and running Mock 0. If results of Training change Hyperparameter tuning, document explicitly why."
ML Project,Process Step,Hyperparameter Tuning,"Run through Hyperparameter tuning process, documenting all findings, assumptions."
ML Project,Process Step,Hyperparameter Tuning,"Finding must be communicated at this point of time, via Dashboard. Make Explicit determination if business approval is required before proceeding forward."
ML Project,Process Step,Model Evaluation,NNNNNNNEEEEEWWWWWWW .Needs comments.
ML Project,Process Step,Model Selection,"Includes Determination of Final Model to be used, and parameters included within Model."
ML Project,Process Step,Model Selection,"Must be formally documented, with all underlying results, documents and finding available in a clear and consistent documented process."
ML Project,Process Step,Model Selection,"Decision should include an expected Performance Change, an deployment plan, and owners, in addition to agreement of go forward KPI monitoring."
ML Project,Process Step,Validation,"Run hold back data after all decisions have been made, before approval. Need to COMMUNICATE this to people to avoid confusion. It is important as this should not bias or be done before the model is created, part of healthy Business Decisions."
ML Project,Process Step,"Bias, Fairness and Ethics",Comment Needed
ML Project,Process Step,Model Summarization/ Model Interpretability,NNNNNNNEEEEEWWWWWWW .Needs comments.
ML Project,Process Step,Deployment,Need to Explain this as a step. If not order will not be restored necessary.
ML Project,Process Step,Monitoring,
Problem Solving,Process Step,Problem Definition,"Define problem, in a clear and explicit way such that it can be solved, tested or experiemented. Problem MUST be solvable and should be iterative, or have a series of iterative steps such that it can be effectively managed and solved"
Problem Solving,Process Step,Problem Definition,"Define Problem Statement. Including clearly articulating why it matters, what is the impact of not having this solution."
Problem Solving,Process Step,Problem Definition,"Define the desired end state, in such a way that the contribution of the ML Model or project can achieve granular progress through iteration"
Problem Solving,Process Step,Problem Definition,"Define the current state, how does the end state look different. Should be Quantifiable via metrics, and montetary impact."
Problem Solving,Process Step,Problem Definition,"Proceed Forward Decision. Who is responsible, how does it get made."
Problem Solving,Process Step,Problem Definition,"How to effectively and clearly document objection, concern, risks and doubts."
Problem Solving,Process Step,Problem Definition,Define EDA Process
Process Development,Guiding Principle,Simple,Provide Defintion.
Process Development,Guiding Principle,Clear,Provide Defintion.
Process Development,Guiding Principle,Evident,Provide Defintion.
Process Development,Guiding Principle,Obvious,Provide Defintion.
Process Development,Guiding Principle,Accountability,"Are Roles and Responsbilities explicity stated? and Is it clear who is responsible for what. Are goals SMART (or atleast defined) or at a minimum, is our partcipation understood and documented.  "
Communication,Guiding Principle,Engaging People,Simple things can make a huge differene.
Communication,Guiding Principle,Engaging People,"Giving people meaningful and engaging work, utilizing their thoughts, intellegence and making them feel Good are important."
Communication,Guiding Principle,Engaging People,Don’t try and rush change. It takes time and we need to learn and understand.
Goals,Guiding Principle,Specific,
Goals,Guiding Principle,Measurable,
Goals,Guiding Principle,Achievable,
Goals,Guiding Principle,Relevant,
Goals,Guiding Principle,Time Bound,
A|B Testing,Guiding Principle,TBD,
Best Linear Unbiased Estimator,Requirement,Homoscedasticity,
Best Linear Unbiased Estimator,Requirement,Independence,
Best Linear Unbiased Estimator,Requirement,Linearity,
Best Linear Unbiased Estimator,Requirement,No Perfect Collinearity,
Best Linear Unbiased Estimator,Requirement,Normality of Residuals,
Clustering Implementation,Process Step,Feature Selection,"Must Clarify this clearly, specifically the distinction between Behavior and Attributes, clustering should focus primarily on behavior. Specifically Demographics can dominate distiance differences relative to behavior without adding value."
Clustering Implementation,Process Step,Feature Selection,"Small Number of Stable, Interpretable, Member Archetypes that summaize the global behavior and can be reused for ML and Analysis."
Clustering Implementation,Process Step,Model Selection,Stability over Uniqueness
Clustering Implementation,Process Step,Model Selection,Interpretability over novelty
Clustering Implementation,Process Step,Model Selection,Repeatability over perfection.
