Title,Header,Description
ML Models,Linear Regression,"Closed Form Solution. Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times."
,,"Itterative Gradient Decsent (Batch, Mini, Stochastic). Partial Derivative. "
,Polynomial Regression,
,Overfit,
,Underfit,
,Bias,
,Variance,
,Bias-Variance Trade Off,
Regularization,Ridge Regression,Only added during Training. Model Weights Close to 0.L2
Regularization,Lasso Regression,Only added during Training. Reduces weights of least important variables. L1
,ElasticNet,
,Early Stopping,
