Process,Title,Header,Description
Math,Derivative,Rate of Change,
Math,Derivative (second order),Acceleration of Rate of Change.,
Machine Learning,Overview,,
Machine Learning,Approaches,Supervised Learning,
Machine Learning,Approaches,Unsupervised Learning,
Machine Learning,Approaches,SemiSupervised Learning,
Machine Learning,Approaches,Reinforcement Learning,
ML Tasks,Regression,Description,DESCRIPTION
ML Tasks,Classification,Binary,DESCRIPTION
ML Tasks,Classification,Multiclass,Binary vs Multiclass.
ML Tasks,Classification,Evaluation,"Must consider differences in Binary Vs Multiclass. 
Certain Models are only designed for Binary Classification, they can be extended, but must understand model functionality and purpose."
ML Tasks,Classification,Evaluation,"One vs One. Create a series of Classifiers for every Binary Comparison. Results in best overall performance, however number of classifiers quickly increases,  N × (N – 1) / 2. In MNIST, this means 45 Classifers."
ML Tasks,Classification,Evaluation,"One Vs Rest. Create a One Vs series of possible One vs All Classifiers for known possible Classes, run each time, pick the highest score."
ML Tasks,Dimensionality Reduction,Dimensionality Reduction,
Machine Learning,Optimization,General,"In 9 dimensions, might not be global minimum, a series of good solutions."
Machine Learning,Optimization,Requirements,Small change hypothesis must hold.  Example Weather does not hold. Chaos.
Machine Learning,Optimization,Reminders,"Models will cheat. Self-driving car, multi lane highway or blur."
Machine Learning,Optimization,Approaches,"L1 Regularization, L2 Regularization"
Machine Learning,Optimization,Goal,"What are you attempting to maximize, Training Performance, or ability to Generalize.  Strive to avoid overfitting, maximize ability to Generalize."
Machine Learning,Evaluation,Cross Validation,Splitting Data into K Folds.
Machine Learning,Evaluation,Stratified Cross Validation,"Splitting Data into statistically represented folds. If you can assume data is IID, then generally would not be required or benefitical, however it might be determined necessary and thus can be considered."
Machine Learning,Evaluation,Confusion Matrix,
Machine Learning,Evaluation,Accuracy,"Generally not a preferred metric, Especially as it relates to Balance Datasets, where picking the underrepresented class is always a challenge."
Machine Learning,Evaluation,Decision Scores,Scores from the Actual Decision Boundary. Provides Opportunity to Adjust position of Precsion/ Recall Trade Off.
Machine Learning,Evaluation,predict_proba,Specifcally for Decision Trees
Machine Learning,Concepts,Key Terms,"#### Need to Automate this #####
Baggin, Kernel Trick, Momentum, Gradient Propogation, Batch Normalization, Residual Connections, Overfit, Underfit, Bias, Variance, Bias Variance Trade. Off, Depthwise Seperable Connections, Loss Function, Polynominal Regression, Elastic Net, Early Stopping, "
Machine Learning,Models,Models,"Also used as a regularization, sometimes only as regularization. Only added during Training. Model Weights Close to 0.L2"
Machine Learning,Models,Linear Regression,"Closed Form Solution. Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times."
Machine Learning,Models,Reinforcement Learning,
Machine Learning,Models,Convolutional Neural Network,
Machine Learning,Models,Large Language Models,
Machine Learning,Models,Recurrent Neural Network,
Machine Learning,Models,Transformers,
Machine Learning,Deep Learning, ,Helps to Automate Feature Engineering
Machine Learning,Deep Learning,Evolution,"Historical Issue of gradient propogration where signal would fade through the layers was solved through, better activation functions, optimization schemes and weight initializing."
Machine Learning,Deep Learning,Framework,"Core building block is the layer, a filter which creates a representation, can chain simple layers into a complex one. "
Machine Learning,Deep Learning,Model,"Model starts with determining the number of layers, type of connections, and activation functions. Once model is defined, to comile need to determine, Optimizer, Loss Function and Metric."
TensorFlow,Tensor,Properties,Number of Dimensions (ndim)
TensorFlow,Tensor,Properties,Shape
TensorFlow,Tensor,Properties,Data Type
TensorFlow,Tensor,Dimensions,"Rank 2: Vector (Sample, Features). A grouping of examples, with same features as values, basic Linear Regression Data."
TensorFlow,Tensor,Dimensions,"Rank 3: Matrix(Sample, Timestamp, Features). Traditional Time Series Data (Also grey scale images). A grouping of examples with a sequence and features."
TensorFlow,Tensor,Dimensions,"Rank 4. (Sample, Height, Width, Channel). Grid of 2D pixels, where each pixel is represented by a vector of values (channel)."
TensorFlow,Tensor,Dimensions,"Rank 5. Video (Sample, Frame, Height, Width, Channel) where each sample is a sequence (of length frames) of images."
TensorFlow,Tensor,Definition,Container for Data
TensorFlow,Tensor,Scalar,Rank 0 Tensor
TensorFlow,Tensor,Vector,Rank 1 Tensor
TensorFlow,Tensor,Matrix,"Rank 2 Tensor, array of vectors"
TensorFlow,Tensor,"[0,1,2,3,4]",5D Tensor.
TensorFlow,Base Properties,Tensors (Data),
TensorFlow,Base Properties,"Tensor Operations (Relu, Matmul, etc)",
TensorFlow,Base Properties,Backpropagation,
TensorFlow,Base Properties,Layers,
TensorFlow,Base Properties,Loss Function,
TensorFlow,Base Properties,Optimizer,
TensorFlow,Base Properties,Metrics,
TensorFlow,Base Properties,Training Loop,
TensorFlow,Base Properties,Transfer Learning,"Using .layers from trained model can, utilize previously trained Neurons/Nodes as inputs for different models. "
TensorFlow,Structures,Densely (Fully) Connected Layers,
TensorFlow,Structures,Recurrent Layers,
TensorFlow,Structures,Convolutional Layers,
TensorFlow,Structures,Sequential,
TensorFlow,Structures,Two Branch Networks,
TensorFlow,Structures,Multihead Networks,
TensorFlow,Structures,Residual Connections,
TensorFlow,Optimizer,SGD (With and without Momentum),
TensorFlow,Optimizer,RMSProp,
TensorFlow,Optimizer,Adam,
TensorFlow,Optimizer,Adagrad,
TensorFlow,Loss,CategoricalCrossentropy,
TensorFlow,Loss,SparseCategoricalCrossentropy,
TensorFlow,Loss,BinaryCrossentropy,
TensorFlow,Loss,MeanSquaredError,
TensorFlow,Loss,KLDivergence,
TensorFlow,Loss,CosineSimilarity,
TensorFlow,Metrics,CategoricalAccuracy,
TensorFlow,Metrics,SparseCategoricalAccuracy,
TensorFlow,Metrics,BinaryAccuracy,
TensorFlow,Metrics,AUC,
TensorFlow,Metrics,Precision,
TensorFlow,Metrics,Recall,
TensorFlow,Parameters,Epochs,
TensorFlow,Parameters,Batch Size,
TensorFlow,Model Building,Sequential,"Simplest Method. Define Each Layer Directly, or via .add()"
TensorFlow,Model Building,Functional API,
TensorFlow,Model Building,Model Subclassing,
TensorFlow,Callbacks,Definition,Object that is passed into the model in the .fit() which provides additional control.
TensorFlow,Callbacks,Model Checkpointing,
TensorFlow,Callbacks,Early Stopping,
TensorFlow,Callbacks,Learning Rate Scheduler,
TensorFlow,Callbacks,Dynamically Adjust Parameters,
TensorFlow,Callbacks,Promote and Articulate training metrics during training.,
Tools,MySQL,,
Tools,PostgreSQL,,
Tools,GCP,BigQuery,
Tools,AWS,S3,
Tools,AWS,Redshift,
Tools,AWS,Lambda,
Tools,Power BI,,
Tools,Tableau,,
Tools,GCP,Looker,
Tools,Python,Matplotlib,
Tools,Python,Plotly,
Tools,Python,Pandas,
Tools,Python,Numpy,
Tools,Python,Poetry,
Tools,Docker,,
Tools,Kubernetes,,
Tools,Airflow,,
Tools,FastApi,,
ETL,MLOps,,
ETL,CI/CD,,
Time Series,Time Series,Predicition,"It is important to remember, what you are trying to predict and what scale."
Time Series,Time Series,Predicition,Much Easier to predict over longer time periods. Months Vs Days Vs Hours Vs Minute.
Time Series,Time Series,Classification,
Time Series,Time Series,Event Detection,
Time Series,Time Series,Anomoly Detection,
Time Series,Time Series,Data Preperation,"It is important to use Newer Validation and Testing data opposed to training, as you're trying to predict the future (not the past)."
Time Series,Time Series,,
ML Pipeline Cheat Sheet,Confirm Problem,,
ML Pipeline Cheat Sheet,Identify ML Approach,,
ML Pipeline Cheat Sheet,Obtain Data,,
ML Pipeline Cheat Sheet,Process Data to ML Model,,
ML Pipeline Cheat Sheet,Standardize Data,,
ML Pipeline Cheat Sheet,Train Model,,
ML Pipeline Cheat Sheet,Test Model,,
ML Pipeline Cheat Sheet,Tweak Model,,
ML Pipeline Cheat Sheet,Validate Model,,
Machine Learning,Lesson Learnt,Always Have a Simple Baseline,"Need a reference to test performance of the model. If dataset is imbalanced, have simple guess. If temperature, guess trailing average, etc, find something simple, often very difficutl to beat, and juice might not be worth the squeeze."
Machine Learning,Downside,Simplicity Not Assumed,"ML can't look naively for a simple common sense solution. Unless feature engineered or hard coded, model will always just plug forward. "
Model Types,Convolutional Neural Networds,General Description,"Convolutional Neural Networks, or CNNs, are a type of machine learning model designed to automatically detect meaningful patterns in data by applying filters that scan across the input. While they are most commonly associated with image processing, CNNs can also be applied effectively to structured data with spatial or temporal patterns, such as time series. In time series data, CNNs act like pattern detectors that can identify trends, spikes, or repeated behaviors over short intervals of time. These models use one-dimensional convolutions, which apply filters along the time axis, allowing the model to capture localized patterns regardless of where they occur in the sequence.

For classification tasks, a CNN can learn to recognize short-term patterns in the time series that are associated with specific labels, such as detecting equipment faults or classifying sensor behavior. For regression tasks, CNNs can extract features from recent data windows and use those to predict future values, like forecasting temperature, stock prices, or energy usage. CNNs are often preferred over recurrent models (like LSTMs) when the relationships in the data are more local or when training speed is important, as they tend to be faster and require fewer parameters.

In summary, convolutional models are a flexible and efficient tool for analyzing time-based data. They are particularly useful when you want to detect local patterns in a sequence and use those to classify or predict outcomes, even in non-image domains."
Model Types,Neural Networks,As Features,"When a CNN processes input (like a time series), it transforms the raw data into higher-level feature representations through its convolutional layers. These representations capture meaningful patterns — like trends, spikes, or periodicities — that are often more informative than the raw data itself.

You can extract these intermediate outputs and use them as features for other models"
