Process,Title,Header,Description
Math,Derivative,Rate of Change,
Math,Derivative (second order),Acceleration of Rate of Change.,
Machine Learning,Overview,,
Machine Learning,Types of ML,Supervised Learning,
Machine Learning,Types of ML,Unsupervised Learning,
Machine Learning,Types of ML,SemiSupervised Learning,
Machine Learning,Types of ML,Reinforcement Learning,
Machine Learning,Output of ML,Regression,
Machine Learning,Output of ML,Classification,
Machine Learning,Output of ML,Dimensionality Reduction,
Machine Learning,Optimization,General,"In 9 dimensions, might not be global minimum, a series of good solutions."
Machine Learning,Optimization,Requirements,Small change hypothesis must hold.  Example Weather does not hold. Chaos.
Machine Learning,Optimization,Reminders,"Models will cheat. Self-driving car, multi lane highway or blur."
Machine Learning,Optimization,Approaches,"L1 Regularization, L2 Regularization"
Machine Learning,Concepts,Key Terms,"#### Need to Automate this #####
Baggin, Kernel Trick, Momentum, Gradient Propogation, Batch Normalization, Residual Connections, Overfit, Underfit, Bias, Variance, Bias Variance Trade. Off, Depthwise Seperable Connections, Loss Function, Polynominal Regression, Elastic Net, Early Stopping, "
Machine Learning,Models,Models,"Also used as a regularization, sometimes only as regularization. Only added during Training. Model Weights Close to 0.L2"
Machine Learning,Models,Linear Regression,"Closed Form Solution. Python Linear Regression utilizies Pseudoinverse, which is computationally less expensive. However, it is Big O 2² to 2³, which means doubling features increases computations complexity 4 times."
Machine Learning,Models,Reinforcement Learning,
Machine Learning,Models,Convolutional Neural Network,
Machine Learning,Models,Large Language Models,
Machine Learning,Models,Recurrent Neural Network,
Machine Learning,Models,Transformers,
Machine Learning,Deep Learning, ,Helps to Automate Feature Engineering
Machine Learning,Deep Learning,Evolution,"Historical Issue of gradient propogration where signal would fade through the layers was solved through, better activation functions, optimization schemes and weight initializing."
Machine Learning,Deep Learning,Framework,"Core building block is the layer, a filter which creates a representation, can chain simple layers into a complex one. "
Machine Learning,Deep Learning,Model,"Model starts with determining the number of layers, type of connections, and activation functions. Once model is defined, to comile need to determine, Optimizer, Loss Function and Metric."
TensorFlow,Tensor,Properties,Number of Dimensions (ndim)
TensorFlow,Tensor,Properties,Shape
TensorFlow,Tensor,Properties,Data Type
TensorFlow,Tensor,Dimensions,"Rank 2: Vector (Sample, Features). A grouping of examples, with same features as values, basic Linear Regression Data."
TensorFlow,Tensor,Dimensions,"Rank 3: Matrix(Sample, Timestamp, Features). Traditional Time Series Data (Also grey scale images). A grouping of examples with a sequence and features."
TensorFlow,Tensor,Dimensions,"Rank 4. (Sample, Height, Width, Channel). Grid of 2D pixels, where each pixel is represented by a vector of values (channel)."
TensorFlow,Tensor,Dimensions,"Rank 5. Video (Sample, Frame, Height, Width, Channel) where each sample is a sequence (of length frames) of images."
TensorFlow,Tensor,Definition,Container for Data
TensorFlow,Tensor,Scalar,Rank 0 Tensor
TensorFlow,Tensor,Vector,Rank 1 Tensor
TensorFlow,Tensor,Matrix,"Rank 2 Tensor, array of vectors"
TensorFlow,Tensor,"[0,1,2,3,4]",5D Tensor.
TensorFlow,Base Properties,Tensors (Data),
TensorFlow,Base Properties,"Tensor Operations (Relu, Matmul, etc)",
TensorFlow,Base Properties,Backpropagation,
TensorFlow,Base Properties,Layers,
TensorFlow,Base Properties,Loss Function,
TensorFlow,Base Properties,Optimizer,
TensorFlow,Base Properties,Metrics,
TensorFlow,Base Properties,Training Loop,
TensorFlow,Base Properties,Transfer Learning,"Using .layers from trained model can, utilize previously trained Neurons/Nodes as inputs for different models. "
TensorFlow,Structures,Densely (Fully) Connected Layers,
TensorFlow,Structures,Recurrent Layers,
TensorFlow,Structures,Convolutional Layers,
TensorFlow,Structures,Sequential,
TensorFlow,Structures,Two Branch Networks,
TensorFlow,Structures,Multihead Networks,
TensorFlow,Structures,Residual Connections,
TensorFlow,Optimizer,SGD (With and without Momentum),
TensorFlow,Optimizer,RMSProp,
TensorFlow,Optimizer,Adam,
TensorFlow,Optimizer,Adagrad,
TensorFlow,Loss,CategoricalCrossentropy,
TensorFlow,Loss,SparseCategoricalCrossentropy,
TensorFlow,Loss,BinaryCrossentropy,
TensorFlow,Loss,MeanSquaredError,
TensorFlow,Loss,KLDivergence,
TensorFlow,Loss,CosineSimilarity,
TensorFlow,Metrics,CategoricalAccuracy,
TensorFlow,Metrics,SparseCategoricalAccuracy,
TensorFlow,Metrics,BinaryAccuracy,
TensorFlow,Metrics,AUC,
TensorFlow,Metrics,Precision,
TensorFlow,Metrics,Recall,
TensorFlow,Parameters,Epochs,
TensorFlow,Parameters,Batch Size,
TensorFlow,Model Building,Sequential,"Simplest Method. Define Each Layer Directly, or via .add()"
TensorFlow,Model Building,Functional API,
TensorFlow,Model Building,Model Subclassing,
TensorFlow,Callbacks,Definition,Object that is passed into the model in the .fit() which provides additional control.
TensorFlow,Callbacks,Model Checkpointing,
TensorFlow,Callbacks,Early Stopping,
TensorFlow,Callbacks,Learning Rate Scheduler,
TensorFlow,Callbacks,Dynamically Adjust Parameters,
TensorFlow,Callbacks,Promote and Articulate training metrics during training.,
Tools,MySQL,,
Tools,PostgreSQL,,
Tools,GCP,BigQuery,
Tools,AWS,S3,
Tools,AWS,Redshift,
Tools,AWS,Lambda,
Tools,Power BI,,
Tools,Tableau,,
Tools,GCP,Looker,
Tools,Python,Matplotlib,
Tools,Python,Plotly,
Tools,Python,Pandas,
Tools,Python,Numpy,
Tools,Python,Poetry,
Tools,Docker,,
Tools,Kubernetes,,
Tools,Airflow,,
Tools,FastApi,,
ETL,MLOps,,
ETL,CI/CD,,
Time Series,Time Series,Predicition,"It is important to remember, what you are trying to predict and what scale."
Time Series,Time Series,Predicition,Much Easier to predict over longer time periods. Months Vs Days Vs Hours Vs Minute.
Time Series,Time Series,Classification,
Time Series,Time Series,Event Detection,
Time Series,Time Series,Anomoly Detection,
Time Series,Time Series,Data Preperation,"It is important to use Newer Validation and Testing data opposed to training, as you're trying to predict the future (not the past)."
Time Series,Time Series,,
ML Pipeline Cheat Sheet,Confirm Problem,,
ML Pipeline Cheat Sheet,Identify ML Approach,,
ML Pipeline Cheat Sheet,Obtain Data,,
ML Pipeline Cheat Sheet,Process Data to ML Model,,
ML Pipeline Cheat Sheet,Standardize Data,,
ML Pipeline Cheat Sheet,Train Model,,
ML Pipeline Cheat Sheet,Test Model,,
ML Pipeline Cheat Sheet,Tweak Model,,
ML Pipeline Cheat Sheet,Validate Model,,
Machine Learning,Lesson Learnt,Always Have a Simple Baseline,"Need a reference to test performance of the model. If dataset is imbalanced, have simple guess. If temperature, guess trailing average, etc, find something simple, often very difficutl to beat, and juice might not be worth the squeeze."
Machine Learning,Downside,Simplicity Not Assumed,"ML can't look naively for a simple common sense solution. Unless feature engineered or hard coded, model will always just plug forward. "
Model Types,Convolutional Neural Networds,General Description,"Convolutional Neural Networks, or CNNs, are a type of machine learning model designed to automatically detect meaningful patterns in data by applying filters that scan across the input. While they are most commonly associated with image processing, CNNs can also be applied effectively to structured data with spatial or temporal patterns, such as time series. In time series data, CNNs act like pattern detectors that can identify trends, spikes, or repeated behaviors over short intervals of time. These models use one-dimensional convolutions, which apply filters along the time axis, allowing the model to capture localized patterns regardless of where they occur in the sequence.

For classification tasks, a CNN can learn to recognize short-term patterns in the time series that are associated with specific labels, such as detecting equipment faults or classifying sensor behavior. For regression tasks, CNNs can extract features from recent data windows and use those to predict future values, like forecasting temperature, stock prices, or energy usage. CNNs are often preferred over recurrent models (like LSTMs) when the relationships in the data are more local or when training speed is important, as they tend to be faster and require fewer parameters.

In summary, convolutional models are a flexible and efficient tool for analyzing time-based data. They are particularly useful when you want to detect local patterns in a sequence and use those to classify or predict outcomes, even in non-image domains."
Model Types,Neural Networks,As Features,"When a CNN processes input (like a time series), it transforms the raw data into higher-level feature representations through its convolutional layers. These representations capture meaningful patterns — like trends, spikes, or periodicities — that are often more informative than the raw data itself.

You can extract these intermediate outputs and use them as features for other models"
Model Types,Neural Networks,Translation invariance,"Translation invariance means that a model, like a CNN, can recognize a pattern regardless of where it appears in the input—for example, detecting a spike in a time series whether it occurs early or late in the sequence"
Model Types,Neural Networks,Max Pooling,"A max pooling layer in machine learning reduces the size of the input by sliding a window over it and keeping only the maximum value in each window, which helps the model focus on the most important features while reducing computation and increasing robustness to small shifts or noise."
Model Types,Neural Networks,Long Short Term Memory,"An LSTM (Long Short-Term Memory) is a special kind of neural network used for sequential data, like time series or text, that can learn and remember long-term patterns by using a memory cell and gates that control the flow of information—this allows it to keep important information from earlier in the sequence and forget what’s not relevant, making it well-suited for tasks like prediction, translation, or anomaly detection over time.

Traditional recurrent neural networks (RNNs) struggle to retain information over long sequences—they remember the recent (short-term) past but tend to ""forget"" earlier (long-term) information. LSTMs were designed to fix this by introducing a memory cell that can store information over long durations, while also using gates to manage short-term updates"
Model Types,Neural Networks,Feedforward,"Feedforward refers to a type of neural network where information moves in one direction only—from the input layer, through any hidden layers, to the output layer—without any loops or feedback connections. Each layer passes its output to the next, and the model does not retain memory of previous inputs, making it well-suited for tasks like classification or regression on fixed-size data."
