Process,Title,Header,Description
Machine Learning Project,Problem Definition,Clearly Defined Problem Statement,"Problem statement should include a clear, specific, well considered, and relate to a meaningful solvable, problem. Additionally, the problem statement should highlight why the issue is relavant, and how the problem is known to exist (Facts, Stats, Magnitude)."
Machine Learning Project,Problem Definition,Current State,"It is crirically important that problems are substantiated, clear, and comprehensively understood, at both executive and L6 levels. It is important to have 360 perspective of what the problem is, not simply 1 persons, or a small groups perspective (regardless of how influential that individual is)."
Machine Learning Project,Problem Definition,Historical Context,"You can not create a best in class solution, without knowing what has come before, why those solutoins did not fully satisfy, and where the risks lie."
Machine Learning Project,Problem Desired End State,"Specific Description of Requirements, Desires and Expectations.","Needs to be very clear, such that a proposed solution can be measured as to whether it meets the criteria, while all KPIs are not necessarily defined yet several primary related to needs and expectations should be defined, and considered for plausibility. "
Machine Learning Project,Problem Desired End State,How will the tool be used?,"Understand very specifically, at a operational level, how will the tool be used (ie, individual a will open dashboard, they will review, if A then B, if C then D, if E then F."
Machine Learning Project,Model Conceptualization,"on problem statement and desired end state, conceptualize the types of solutions and models which could be developed and implemente",
Machine Learning Project,Model Conceptualization,Identify types of Models and Architectures which might be relevant in solving problem and delievering fundamental components of desired end state,
Machine Learning Project,Model Conceptualization,Estimate baseline development cost for each model architecture,
Machine Learning Project,Model Conceptualization,Identify and define model evaluation criteria and MVP performance requirements,
Machine Learning Project,Model Conceptualization,Ensure to include a technical description of why the particular model type is appropriate or not in the context of desired solution,
Machine Learning Project,Model Conceptualization,"If any core components of desired end state are missing from solutions, validate with Stakeholders to clarify before proceeding forward",
Machine Learning Project,Model Conceptualization,"Where possible, try to retain as much flexibility and optionality as possible, explicilty noting development time required for baseline solution",
Machine Learning Project,Data Collection,"Identify Data Elements which are required, desired, and available",
Machine Learning Project,Data Collection,Locate and Confirm Data Availability,"Ensure accountability of this action is clear, where data is not available what will be done, change approach, obtain data, engineer data?"
Machine Learning Project,Data Collection,Completed Dictionary for all data elements included,
Machine Learning Project,Data Collection,"For elements which are not available, ensure individuals are assigned as Data Stewards and a delivery dates (including refresh requirements are identified)",
Machine Learning Project,Data Collection,"For new data, ensure Data Validaion, Quality and refresh frequency are explicitly dicussed and ownership for each assigned",
Machine Learning Project,EDA and Data Preprocessing,Build Environment,"Poetry, Virtual Environment, Other."
Machine Learning Project,EDA and Data Preprocessing,Explore dataset which are to be used for model creation once creat,Exploration approach situatioal contigent on SME knowledge and availability. Refer to EDA - Approach.
Machine Learning Project,EDA and Data Preprocessing,Complete EDA Checklist,
Machine Learning Project,EDA and Data Preprocessing,Insights report,
Machine Learning Project,Baseline Model Selection & Validation,"Run initial ML pipeline, review outputs, validate model, features and preliminary results before tuning and finalization",
Machine Learning Project,Baseline Model Selection & Validation,"Identify which models have best performance, rationalize performance",
Machine Learning Project,Baseline Model Selection & Validation,"Identify Feature Importance, and determine if model structure is appropriate or changes are appropriate",
Machine Learning Project,Baseline Model Selection & Validation,"Test alternative feature structure, explore feature engineering and explore for any unknown, or unexpected results",
Machine Learning Project,Tune Model,"Hyperparameter tune models which meet MVP requirements, appear to be best in class and viable for implementation",
Problem Solving,Problem Definition,"Is the Question sufficiently clear and defined? Do you have a clear purpose, expected outcome and business utilization understanding?",
Problem Solving,,What is Success defined as?,
Problem Solving,,Can success be measured?,
Problem Solving,Data Exploration,Identify a Dataset,Is it the Right Data Set? Is Data Missing? Is Data Quality sufficient?
Problem Solving,,Explain a Dataset,
Problem Solving,,Identify Missing Data,
Problem Solving,,Standardized,
Problem Solving,,Feature Engineer,
Problem Solving,,,
Problem Solving,,,
Problem Solving,Hypothesis Development,,
Problem Solving,Model Selection,Create A Baseline,
Problem Solving,,Explain Performance,
Problem Solving,,Create atleast 5 viable alternatives,
Problem Solving,Model Execution,Explain Performance,
Problem Solving,,Compare Performance,
Problem Solving,,,
Problem Solving,Model Tuning,,
Problem Solving,Model Testing,,
Problem Solving,Model Evaluation,,
Problem Solving,Model Deployment,,
Problem Solving,,,
Problem Solving,Frame The Problem,What specifically are you trying to solve and why is it important.,
Problem Solving,Understand Your Role,What are you responsible for in relation to the entire process.,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,,
Problem Solving,,Move into Python Create Beautiful Visuals Then Move to Git.,
Communication,Know Your Audience,Who is your Audience?,
Communication,Know Your Audience,What do they want and why?,
Communication,Know Your Audience,"What are they expecting to hear, and why?",
Communication,Know Your Audience,What Biases might they have?,"Understand how these biases might hurt, or they might help you."
Communication,What are you trying to tell them?,"What is most Important, and why?",
Communication,What do you need them to understand?,,
Communication,What is your Call to Action?,,
Communication,Review Presentation,"Does it provide enough background to be relevant, without being overwhelming.",
Communication,Review Presentation,How likely is it people will listen?,
Communication,Review Presentation,Is it too long?,
Kubernetes Production Environment,Lifecycle,Kubernetes Handles,
Kubernetes Production Environment,Access Control,Role Based (IAM),
Kubernetes Production Environment,Infrastructure,"CPU, Memory, Disk, Network",
Kubernetes Production Environment,Metrics,,
Kubernetes Production Environment,Centralized Logging,,
Kubernetes Production Environment,Exteneral DNS,,
Kubernetes Production Environment,SSL/ TLS Certificates,,
Kubernetes Production Environment,"Warnings, Notifications (Metrics Based)",,
Kubernetes Production Environment,Cost Management,,
Kubernetes Production Environment,VIsualization,,
Kubernetes Production Environment,Load Balancer,,
,,,
EDA,Review Variable,"Why. What am I trying to understand. Variable itself. Variables Relationship to Target, Variables Relationship to other variables. Data Quality.","Historgram, Scatter Plot, Correlation Matrix, Skewness, Linearity, non linearity, Independence, normal distribution, extremes, scaling,"
,,,
,,,
,,,
,,Complete,
,,Imputation,
,,Standardization,"Need to understand when this should, should not happen, based on type, model, etc."
,,Distribution,skewness test
,,Transformation,how to look for nonlinearity in data.
,Correlation,"How doea this relate to Target, to other variables",
,Should this column be included,Yes/ No,
,Dataset Processing,Does target need to be balanced.,
,,,
Model Selection,Learning Type,,
,Problem Type,,
,Explainability,,
,In - Out Memory,,
