Process,Title,Header,Description
BLUE,Linearity,Relationship between Independent and Dependent should be Linear. With finite variance,
BLUE,Independence.,Observations should be independent of each other. No Correlation between errors of residuals. Errors are autocorrelated with self. Durbin Watson,
BLUE,Homoscedasticity,Variance of the residuals should be constant.,
BLUE,Normality of Residuals,Residuals should be normally distributed.,
BLUE,No Perfect Collinearity,No perfect linear relationship between residuals,
D Project Partcipation Guidelines,Guiding Principle,Definition,"D Project Partcipation Guidelines are set up to formulate a baseline commitment of the process I have agreed to follow in every scenario. While I may not explicitly answer every question everytime, I should for my own benefit. Document the process and my thought/rationale to proceeding to help to provide clarity, consistency and forces one to think about the scenario from different perspectives and leave a history. How many times have I made mistakes, missed pertinent facts, duplicated work, or just simply done unnecessary work because I haven't ask the right questions, lost track of purpose, misunderstood, assumed incorrect, or incorrectly lost focus on the ultimate deliverable because I didnt have a clear enough focus/purpose."
D Project Partcipation Guidelines,Problem Definition,Refer to Process,
D Project Partcipation Guidelines,Goal Setting,Refer to Process,
D Project Partcipation Guidelines,Approach Development,Refer to Process,
D Project Partcipation Guidelines,Data Gathering,Refer to Process,
D Project Partcipation Guidelines,Data Exploration and Modelling,Refer to Process,
D Project Partcipation Guidelines,ML Pipeline,Refer to Process,
D Project Partcipation Guidelines,Solution Development,Refer to Process,
D Project Partcipation Guidelines,Solution Adoption,Refer to Process,
Problem Definition,Guiding Principle,Definition,"Process created to provide a framework for understanding a problem. If you do not fully understand a problem, it is very difficult to identiy a meaningful and appropriate solution, and as a result this is often the most important component of a project, endeavor or task. While there is a real issue of Analysis Paralysis which must be managed, it is critical that consideration be given to work, and that a proporation amount of time is invested in this step. A rough guideline of total expected time spent of Problem Definition would be 5-15%, with the more complex the Problem, the more time allocated on definition."
Problem Definition,Step 1: Definition,What Type of Problem or Question is it?,"TBD: Need to Create a List of Types of Problems and QUESTIONS and store this somewhere. 


Complexity. Resources Required. Responsibility. etc."
Problem Definition,Step 2: Problem Statement,Explicitly Define the Problem Statement,"Problem statement should include a clear, specific, well considered, and relate to a meaningful solvable, problem. Additionally, the problem statement should highlight why the issue is relavant, and how the problem is known to exist (Facts, Stats, Magnitude)."
Problem Definition,Step 2: Problem Statement,Is the Root Cause Included in Problem Statement,
Problem Definition,Step 3: Context,Why is this Important?,"It is critically important that problems are substantiated, clear, and comprehensively understood. The Problem Definition should articulate this, and represent a clear full and appropriate picture."
Problem Definition,Step 3: Context,How has this been determined?,"It is important to remember how the definition of Important has been derived. Ideally a current state analysis would be completed, which looks at the existing process, historical context, relevant projects on the go, or historical projects which have attempted to solve the issue and outcomes, finding and learnings from these."
Problem Definition,Step 3: Context,Who says so?,"It is important to have 360 perspective of what the problem is, where has the definition been sourced, and who has contributed. Does it represent a full and fair picture? Does it have sufficient endorsement?"
Problem Definition,Step 4: Impact,"If we DO this, we will be able to....","Where possible, this should be described in measurable terms, Hours Saved, New Deposits Earned, New Loans Issued, Dollars Revenue earned, etc."
Problem Definition,Step 4: Impact,"If we DO this, the following individuals will be impacted ...","A list of Individuals who are impacted and by default should be provided the opportunity to be included in discussion, or at a minimum provided notification of key decisions."
Problem Definition,Step 4: Impact,If we DO NOT this the following will or could occur ...,"Where possible, this should be described in measurable terms, Manual Hours Spent to recreate, Deposits Loans Lost, Regulator Commitments not met, processes which will not be met. If something is manually occuring now, the impact is lost opportunity, not the cost of current process. "
Problem Definition,Step 4: Impact,"If we DO Not do this, the following individuals will be impacted ...","A list of Individuals who are impacted and by default should be provided the opportunity to be included in discussion, or at a minimum provided notification of key decisions."
Goal Setting,Guiding Principle,Definition,"Process created to provide a framework for effectively guiding the solutioning of a problem. Goal setting is important for a number of reasons, including; managing expectations, minimizing resource spend,  alligning resources, and explicitly defining the requirements. A rough guideline of total expected time spent of Goal Setting would be 5-15%, with the more complex the Problem, the more time allocated on definition."
Goal Setting,Step 1: Definition,"What are the Goals, Purpose or Expected Outcomes.","What is the desired Goal? Appreciating that the definition of a Goal is somewhat ambigious and up for interpretation, ideally it will be split into 2 Section. Section 1: Goal. Section 2: Expected Outcomes. With the goal relating to higher organizational strategic plans and positioning, with the exepected outcomes, more granular measurable components. The respective Why and What."
