Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5,Hyperparameters
AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,classifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,sklearn.ensemble._weight_boosting.AdaBoostClassifier,ensemble,_weight_boosting,AdaBoostClassifier,,c
BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>,classifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>,sklearn.ensemble._bagging.BaggingClassifier,ensemble,_bagging,BaggingClassifier,,"['base_estimator', 'bootstrap', 'bootstrap_features', 'max_features', 'max_samples', 'n_estimators', 'n_jobs', 'oob_score', 'random_state', 'verbose', 'warm_start']"
BernoulliNB,<class 'sklearn.naive_bayes.BernoulliNB'>,classifier,<class 'sklearn.naive_bayes.BernoulliNB'>,sklearn.naive_bayes.BernoulliNB,naive_bayes,BernoulliNB,,,"['alpha', 'binarize', 'class_prior', 'fit_prior']"
CalibratedClassifierCV,<class 'sklearn.calibration.CalibratedClassifierCV'>,classifier,<class 'sklearn.calibration.CalibratedClassifierCV'>,sklearn.calibration.CalibratedClassifierCV,calibration,CalibratedClassifierCV,,,"['base_estimator', 'cv', 'ensemble', 'method', 'n_jobs']"
CategoricalNB,<class 'sklearn.naive_bayes.CategoricalNB'>,classifier,<class 'sklearn.naive_bayes.CategoricalNB'>,sklearn.naive_bayes.CategoricalNB,naive_bayes,CategoricalNB,,,"['alpha', 'class_prior', 'fit_prior', 'min_categories']"
ClassifierChain,<class 'sklearn.multioutput.ClassifierChain'>,classifier,<class 'sklearn.multioutput.ClassifierChain'>,sklearn.multioutput.ClassifierChain,multioutput,ClassifierChain,,,
ComplementNB,<class 'sklearn.naive_bayes.ComplementNB'>,classifier,<class 'sklearn.naive_bayes.ComplementNB'>,sklearn.naive_bayes.ComplementNB,naive_bayes,ComplementNB,,,"['alpha', 'class_prior', 'fit_prior', 'norm']"
DecisionTreeClassifier,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,classifier,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,sklearn.tree._classes.DecisionTreeClassifier,tree,_classes,DecisionTreeClassifier,,"['ccp_alpha', 'class_weight', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'random_state', 'splitter']"
DummyClassifier,<class 'sklearn.dummy.DummyClassifier'>,classifier,<class 'sklearn.dummy.DummyClassifier'>,sklearn.dummy.DummyClassifier,dummy,DummyClassifier,,,"['constant', 'random_state', 'strategy']"
ExtraTreeClassifier,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,classifier,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,sklearn.tree._classes.ExtraTreeClassifier,tree,_classes,ExtraTreeClassifier,,"['ccp_alpha', 'class_weight', 'criterion', 'max_depth', 'max_features', 'max_leaf_nodes', 'min_impurity_decrease', 'min_samples_leaf', 'min_samples_split', 'min_weight_fraction_leaf', 'random_state', 'splitter']"
