Model Name,Estimator Class,Dataset Size,Full Class Path,Estimator Type,Part_1,Part_2,Part_3,Part_4,Part_5,Sklearn Desc
ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>,"Small, Medium",sklearn.linear_model._bayes.ARDRegression,regressor,sklearn,linear_model,_bayes,ARDRegression,,"Bayesian ARD regression.  Fit the weights of a regression model, using an ARD prior. The weights of the regression model are assumed to be in Gaussian distributions. Also estimate the parameters lambda (precisions of the distributions of the weights) and alpha (precision of the distribution of the noise). The estimation is done by an iterative procedures (Evidence Maximization)  Read more in the :ref:`User Guide <bayesian_regression>`.  Parameters ---------- max_iter : int, default=300 Maximum number of iterations."
AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,"Small, Medium",sklearn.ensemble._weight_boosting.AdaBoostClassifier,classifier,sklearn,ensemble,_weight_boosting,AdaBoostClassifier,,An AdaBoost classifier.  An AdaBoost [1]_ classifier is a meta-estimator that begins by fitting a classifier on the original dataset and then fits additional copies of the classifier on the same dataset but where the weights of incorrectly classified instances are adjusted such that subsequent classifiers focus more on difficult cases.  This class implements the algorithm based on [2]_.  Read more in the :ref:`User Guide <adaboost>`.
AdaBoostRegressor,<class 'sklearn.ensemble._weight_boosting.AdaBoostRegressor'>,"Small, Medium",sklearn.ensemble._weight_boosting.AdaBoostRegressor,regressor,sklearn,ensemble,_weight_boosting,AdaBoostRegressor,,"An AdaBoost regressor.  An AdaBoost [1] regressor is a meta-estimator that begins by fitting a regressor on the original dataset and then fits additional copies of the regressor on the same dataset but where the weights of instances are adjusted according to the error of the current prediction. As such, subsequent regressors focus more on difficult cases.  This class implements the algorithm known as AdaBoost.R2 [2].  Read more in the :ref:`User Guide <adaboost>`."
AdditiveChi2Sampler,<class 'sklearn.kernel_approximation.AdditiveChi2Sampler'>,Large,sklearn.kernel_approximation.AdditiveChi2Sampler,transformer,sklearn,kernel_approximation,AdditiveChi2Sampler,,,"Approximate feature map for additive chi2 kernel.  Uses sampling the fourier transform of the kernel characteristic at regular intervals.  Since the kernel that is to be approximated is additive, the components of the input vectors can be treated separately.  Each entry in the original space is transformed into 2*sample_steps-1 features, where sample_steps is a parameter of the method. Typical values of sample_steps include 1, 2 and 3.  Optimal choices for the sampling interval for certain data ranges can be computed (see the reference). The default values should be reasonable.  Read more in the :ref:`User Guide <additive_chi_kernel_approx>`.  Parameters ---------- sample_steps : int, default=2 Gives the number of (complex) sampling points.  sample_interval : float, default=None Sampling interval. Must be specified when sample_steps not in {1,2,3}.  Attributes ---------- n_features_in_ : int Number of features seen during :term:`fit`."
AffinityPropagation,<class 'sklearn.cluster._affinity_propagation.AffinityPropagation'>,Small,sklearn.cluster._affinity_propagation.AffinityPropagation,cluster,sklearn,cluster,_affinity_propagation,AffinityPropagation,,"Perform Affinity Propagation Clustering of data.  Read more in the :ref:`User Guide <affinity_propagation>`.  Parameters ---------- damping : float, default=0.5 Damping factor in the range `[0.5, 1.0)` is the extent to which the current value is maintained relative to incoming values (weighted 1 - damping). This in order to avoid numerical oscillations when updating these values (messages).  max_iter : int, default=200 Maximum number of iterations.  convergence_iter : int, default=15 Number of iterations with no change in the number of estimated clusters that stops the convergence.  copy : bool, default=True Make a copy of input data.  preference : array-like of shape (n_samples,) or float, default=None Preferences for each point - points with larger values of preferences are more likely to be chosen as exemplars. The number of exemplars, ie of clusters, is influenced by the input preferences value. If the preferences are not passed as arguments, they will be set to the median of the input similarities.  affinity : {'euclidean', 'precomputed'}, default='euclidean' Which affinity to use. At the moment 'precomputed' and ``euclidean`` are supported. 'euclidean' uses the negative squared euclidean distance between points.  verbose : bool, default=False Whether to be verbose.  random_state : int, RandomState instance or None, default=None Pseudo-random number generator to control the starting state. Use an int for reproducible results across function calls. See the :term:`Glossary <random_state>`."
AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>,Small,sklearn.cluster._agglomerative.AgglomerativeClustering,cluster,sklearn,cluster,_agglomerative,AgglomerativeClustering,,"Agglomerative Clustering.  Recursively merges pair of clusters of sample data; uses linkage distance.  Read more in the :ref:`User Guide <hierarchical_clustering>`.  Parameters ---------- n_clusters : int or None, default=2 The number of clusters to find. It must be ``None`` if ``distance_threshold`` is not ``None``.  metric : str or callable, default=""euclidean"" Metric used to compute the linkage. Can be ""euclidean"", ""l1"", ""l2"", ""manhattan"", ""cosine"", or ""precomputed"". If linkage is ""ward"", only ""euclidean"" is accepted. If ""precomputed"", a distance matrix is needed as input for the fit method. If connectivity is None, linkage is ""single"" and affinity is not ""precomputed"" any valid pairwise distance metric can be assigned."
AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>,Small,sklearn.cluster._agglomerative.AgglomerativeClustering,cluster,sklearn,cluster,_agglomerative,AgglomerativeClustering,,"Agglomerative Clustering.  Recursively merges pair of clusters of sample data; uses linkage distance.  Read more in the :ref:`User Guide <hierarchical_clustering>`.  Parameters ---------- n_clusters : int or None, default=2 The number of clusters to find. It must be ``None`` if ``distance_threshold`` is not ``None``.  metric : str or callable, default=""euclidean"" Metric used to compute the linkage. Can be ""euclidean"", ""l1"", ""l2"", ""manhattan"", ""cosine"", or ""precomputed"". If linkage is ""ward"", only ""euclidean"" is accepted. If ""precomputed"", a distance matrix is needed as input for the fit method. If connectivity is None, linkage is ""single"" and affinity is not ""precomputed"" any valid pairwise distance metric can be assigned."
AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>,Small,sklearn.cluster._agglomerative.AgglomerativeClustering,cluster,sklearn,cluster,_agglomerative,AgglomerativeClustering,,"Agglomerative Clustering.  Recursively merges pair of clusters of sample data; uses linkage distance.  Read more in the :ref:`User Guide <hierarchical_clustering>`.  Parameters ---------- n_clusters : int or None, default=2 The number of clusters to find. It must be ``None`` if ``distance_threshold`` is not ``None``.  metric : str or callable, default=""euclidean"" Metric used to compute the linkage. Can be ""euclidean"", ""l1"", ""l2"", ""manhattan"", ""cosine"", or ""precomputed"". If linkage is ""ward"", only ""euclidean"" is accepted. If ""precomputed"", a distance matrix is needed as input for the fit method. If connectivity is None, linkage is ""single"" and affinity is not ""precomputed"" any valid pairwise distance metric can be assigned."
AgglomerativeClustering,<class 'sklearn.cluster._agglomerative.AgglomerativeClustering'>,Small,sklearn.cluster._agglomerative.AgglomerativeClustering,cluster,sklearn,cluster,_agglomerative,AgglomerativeClustering,,"Agglomerative Clustering.  Recursively merges pair of clusters of sample data; uses linkage distance.  Read more in the :ref:`User Guide <hierarchical_clustering>`.  Parameters ---------- n_clusters : int or None, default=2 The number of clusters to find. It must be ``None`` if ``distance_threshold`` is not ``None``.  metric : str or callable, default=""euclidean"" Metric used to compute the linkage. Can be ""euclidean"", ""l1"", ""l2"", ""manhattan"", ""cosine"", or ""precomputed"". If linkage is ""ward"", only ""euclidean"" is accepted. If ""precomputed"", a distance matrix is needed as input for the fit method. If connectivity is None, linkage is ""single"" and affinity is not ""precomputed"" any valid pairwise distance metric can be assigned."
BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>,"Medium, Large",sklearn.ensemble._bagging.BaggingClassifier,classifier,sklearn,ensemble,_bagging,BaggingClassifier,,"A Bagging classifier.  A Bagging classifier is an ensemble meta-estimator that fits base classifiers each on random subsets of the original dataset and then aggregate their individual predictions (either by voting or by averaging) to form a final prediction. Such a meta-estimator can typically be used as a way to reduce the variance of a black-box estimator (e.g., a decision tree), by introducing randomization into its construction procedure and then making an ensemble out of it.  This algorithm encompasses several works from the literature. When random subsets of the dataset are drawn as random subsets of the samples, then this algorithm is known as Pasting [1]_. If samples are drawn with replacement, then the method is known as Bagging [2]_. When random subsets of the dataset are drawn as random subsets of the features, then the method is known as Random Subspaces [3]_. Finally, when base estimators are built on subsets of both samples and features, then the method is known as Random Patches [4]_.  Read more in the :ref:`User Guide <bagging>`."
