Function,Purpose,Parameters,Returns,date_created,date_last_modified,classification,sub_classification,usage,Folder
binary_complex_equivlance,,"['df', 'col', 'col1', 'new_column_name']",,,,,,,feature_engineering.py
binary_column_creator,"Function to Create a Binary Flag.
Updated to remove Dictionary capabilities. Which seems overtly complex and unncessary. 23Jul25","['df', 'column_name', 'new_column_name', 'value', 'calculation', 'balance_column']",,,,,,,feature_engineering.py
custom_preprocessor,,"['df', 'data_dictionary_df', 'index_name']",,,,,,,SY_M_SUPPORT.py
Heatmap,Function Which Generates a Heatmap,"['df', 'correlation', 'column_list', 'title', 'cmap', 'annotate', 'x_rotate', 'y_rotate', 'cbar', 'set_center', 'figsize']",matlplot plot.,,,,,,SY_M_SUPPORT.py
make_kmeans_pipeline,"KMeans in scikit-learn requires dense arrays. If your preprocessor uses OneHotEncoder, set sparse_output=False (new) or sparse=False (older versions).","['X', 'data_dictionary_df', 'index_name', 'n_clusters']",,,,,,,SY_M_SUPPORT.py
create_clustering_visualization,,"['df', 'pipeline_object', 'name_map']",,,,,,,SY_M_SUPPORT.py
scatter_from_dataframe,"Creates a scatter plot from a DataFrame with optional color mapping and axis limits.
action: ""show"" (display), ""save"" (save to file), ""memory"" (return BytesIO object)
save_path: required if action=""save""","['df', 'x_col', 'y_col', 'x_label', 'y_label', 'color_col', 'title', 'x_axis_limit', 'y_axis_limit']",,,,,,,SY_M_SUPPORT.py
sample_score_silhouette,"Close to +1: Clusters are well-separated and points are near their own cluster center.
Around 0: Clusters overlap or points are near the decision boundary.
Negative: Many points are likely assigned to the wrong cluster.","['df', 'label', 'metric', 'sample_size']",,,,,,,SY_M_SUPPORT.py
iteratively_test_sampled_model_performance,"Make Comment abbout NEEDING SAMPLE_SIZE to WORK. CLear Purpose of this, can make models for other types of Performance
Make Comment about required input","['model_testing_function', 'sample_size', 'iterations_', 'maximum_run_time', 'threshold']",,,,,,,SY_M_SUPPORT.py
feature_importance_by_clusters,"Compute feature importance for clustering:
- ANOVA F-statistic and p-value
- Kruskal-Wallis H-statistic and p-value
- Eta-squared and Omega-squared effect sizes","['df', 'cluster_labels', 'features']",,,,,,,SY_M_SUPPORT.py
mutual_information_per_feature,,"['df', 'cluster_labels', 'features', 'n_bins']",,,,,,,SY_M_SUPPORT.py
SampleDataFrame,Returns a random sample from a DataFrame based on confidence level and margin of error.,"['df', 'conf', 'me', 'mv', 'print_', 'new_column_name']",pd.DataFrame: A random sample of the required size.,,,,,,statistical.py
inspect_function,Function which Reads the Document String of a Python Function,['function_name'],Object Type,15-Dec-25,15-Dec-25,TBD,TBD,"from utility_functions import InspectFunction
InspectFunction(InspectFunction)",utility_functions.py
view_df,Function which helps to set default Visualization View in Pandads. Can be applied to a dataframe specifically or the current Session,"['df', 'update_decimal']",Object Type,15-Dec-25,15-Dec-25,TBD,TBD,ViewDf(df),utility_functions.py
password_generator,Function to Create a Randomly Generated Password.,"['minimum', 'maximum']",Object Type,15-Dec-25,15-Dec-25,TBD,TBD,password_generator(),utility_functions.py
view_entire_df_column,Function to Support with the visualization of a specific dataframe column within Jupyter Notebook. Prints the Entire column (Transposed).,"['df', 'index_']",,01-Feb-26,01-Feb-26,TBD,TBD,view_entire_df_column(df),utility_functions.py
dict_to_dataframe,Function to Simplify the creation of a Dictionary into a Dataframe into a single Command.,"['dict_', 'key_name', 'value_name']",Dataframe,4-Dec-25,4-Dec-25,TBD,TBD,temp_df = dict_to_dataframe(dict),dict_processing.py
flatten_clean_dict,"Function which takes a Nested Dictionary (Dictionary, which references dictionary, and converts it into a DataFrame, works best when
Dictionary ultimate Values are List.","['dict_', 'index_name', 'clean', 'apply_new_lvl', 'high_low_list_fix']",DataFrame,30-Dec-25,30-Dec-25,TBD,TBD,"from synthetic_member import mbr_profile_dict
flatten_clean_dict (mbr_profile_dict)",dict_processing.py
calculate_relationship_edge_score,,"['df', 'primary_id', 'secondary_id', 'weight']",,,,,,,graph_theory.py
calculate_relationship_score,,"['pair_score_df', 'entity_1', 'entity_2', 'relationship_score', 'group_id_name', 'relationship_threshold']",,,,,,,graph_theory.py
read_directory,Function which reads reads a directory and returns a list of files included within,"['location', 'file_type', 'match_str']",Dataframe containing a listing of selected files.,3-Dec-25,3-Dec-25,TBD,TBD,"d_py_function =  '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/'
read_directory(d_py_function)",shared_folder.py
text_file_import,Function Used to Import .txt or .py File into Python.,"['file_name', 'encoding']",Str,3-Dec-25,3-Dec-25,TBD,TBD,"location = '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/DFProcessing.py'
file = TextFileImport(location)",shared_folder.py
parse_dot_py_file,"Function which reads a Python file (as text) and provides a summary of
functions and their components, using a structured docstring format.",['file_text'],function_list (DataFrame): One row per function with metadata. function_parameters (DataFrame): One row per parameter per function.,4-Dec-25,4-Dec-25,TBD,TBD,"function_list, function_parameters = ParseDDotPYFile(file_text)",shared_folder.py
