Process,Categorization,Word,Definition,Process_Count,CAT_Count,Word_Count,ProcessCAT_Count
Clustering,Process Step,Feature Selection,"Correlation & Redundancy Analysis. If Greater than .9 then variables are redudanant, specifically within class. 
As a rule of thumb, newest is better, but is based on decision.",17.0,105.0,6.0,16.0
Clustering,Process Step,Feature Selection,Variance & Stability Contribution: Variance Inflation Factor.,17.0,105.0,6.0,16.0
Clustering,Process Step,Feature Selection,"Clustering Sensitivity / Stability Tests
1. Testing Results of Model
    2. Adjusted Rand Index (ARI)
    3. Silhouette/ DB Index
    4. Run Now and Overtime",17.0,105.0,6.0,16.0
Clustering,Process Step,Feature Selection,"4. Incremental Value via Feature Importance in Unsupervised Models
    1. Reconstruction Error in Autoencoders
    2. Mutual Information with Latent Cluster Assignment
    3. Permutation for Clustering.",17.0,105.0,6.0,16.0
Clustering,Process Step,Feature Selection,Understand the relative contribution and sensitivity of features in forming and separating clusters,17.0,105.0,6.0,16.0
Clustering,Process Step,Goal Setting,"A classification, via calculation utilizing mathematical precision to identify based on numeric similarity, attributes, characteristics, properties and behaviours across multidimensional space. Clustering has material advantages relative to more simplistic human derived techniques as it is not limited to ambigious thresholds or static rules (which can be time consuming, incorrect and subject to constant change).

Identify explicit groups of members which posses explicit tendancies, characteistics and patterns which the organiation understand and support through tailored strategies, plans and products.",17.0,105.0,3.0,16.0
Clustering,Process Step,Problem Definition,"When choosing, need to have a explicit understanding of how and why your choice is being made. Trade Offs include; 
Speed vs Accuracy
Accuracy vs Repeatability
Correlation vs Causation
Stability over Uniqueness
Interpretability over novelty
Repeatability over perfection.",17.0,105.0,3.0,16.0
Clustering,Process Step,Problem Definition,"Define the intended use, boundaries, and decision domains for archetype-based strategies",17.0,105.0,3.0,16.0
Clustering,Process Step,Data Preparation,Ensure Data is Labelled and Categorized.,17.0,105.0,3.0,16.0
Clustering,Process Step,Data Preparation,"Review Semantic Classifications, insure sufficient and appropriate model coverage.",17.0,105.0,3.0,16.0
Clustering,Process Step,Model Summarization / Model Interpretability,"Characterize each archetype using clear, interpretable behavioural and financial characteristics",17.0,105.0,3.0,16.0
Clustering,Process Step,Model Summarization / Model Interpretability,Design and apply differentiated engagement strategies aligned to each archetype’s characteristics and needs,17.0,105.0,3.0,16.0
Clustering,Process Step,Data Collection,"Identify and validate the behavioural attributes, transactions, and usage patterns that define similarity among members",17.0,105.0,2.0,16.0
Clustering,Process Step,Validation/ Model Selection,"Identify and define distinct, stable member archetypes based on observed behavioural patterns",17.0,105.0,2.0,16.0
