Section,Name,Type,Default,Description,Model,Estimator
Parameters,max_iter,int,300,Maximum number of iterations.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,tol,float,1e-3,Stop the algorithm if w has converged.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,alpha_1,float,1e-6,Hyper-parameter : shape parameter for the Gamma distribution prior over the alpha parameter.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,alpha_2,float,1e-6,Hyper-parameter : inverse scale parameter (rate parameter) for the Gamma distribution prior over the alpha parameter.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,lambda_1,float,1e-6,Hyper-parameter : shape parameter for the Gamma distribution prior over the lambda parameter.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,lambda_2,float,1e-6,Hyper-parameter : inverse scale parameter (rate parameter) for the Gamma distribution prior over the lambda parameter.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,compute_score,bool,False,"If True, compute the objective function at each step of the model.",ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,threshold_lambda,float,10 000,Threshold for removing (pruning) weights with high precision from the computation.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,fit_intercept,bool,True,"Whether to calculate the intercept for this model. If set to false, no intercept will be used in calculations (i.e. data is expected to be centered).",ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Parameters,copy_X,bool,True,"If True, X will be copied; else, it may be overwritten.",ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,verbose,bool,False,Verbose mode when fitting the model.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,coef_,array-like of shape (n_features,,Coefficients of the regression model (mean of distribution),ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,alpha_,float,,,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,lambda_,array-like of shape (n_features,,,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,sigma_,array-like of shape (n_features,,estimated variance-covariance matrix of the weights,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,scores_,float,,"if computed, value of the objective function (to be maximized)",ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,n_iter_,int,,The actual number of iterations to reach the stopping criterion.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
Attributes,intercept_,float,,Independent term in decision function. Set to 0.0 if ``fit_intercept = False``.,ARDRegression,<class 'sklearn.linear_model._bayes.ARDRegression'>
