Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5
AdaBoostClassifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,classifier,<class 'sklearn.ensemble._weight_boosting.AdaBoostClassifier'>,sklearn.ensemble._weight_boosting.AdaBoostClassifier,ensemble,_weight_boosting,AdaBoostClassifier,
BaggingClassifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>,classifier,<class 'sklearn.ensemble._bagging.BaggingClassifier'>,sklearn.ensemble._bagging.BaggingClassifier,ensemble,_bagging,BaggingClassifier,
BernoulliNB,<class 'sklearn.naive_bayes.BernoulliNB'>,classifier,<class 'sklearn.naive_bayes.BernoulliNB'>,sklearn.naive_bayes.BernoulliNB,naive_bayes,BernoulliNB,,
CalibratedClassifierCV,<class 'sklearn.calibration.CalibratedClassifierCV'>,classifier,<class 'sklearn.calibration.CalibratedClassifierCV'>,sklearn.calibration.CalibratedClassifierCV,calibration,CalibratedClassifierCV,,
CategoricalNB,<class 'sklearn.naive_bayes.CategoricalNB'>,classifier,<class 'sklearn.naive_bayes.CategoricalNB'>,sklearn.naive_bayes.CategoricalNB,naive_bayes,CategoricalNB,,
ClassifierChain,<class 'sklearn.multioutput.ClassifierChain'>,classifier,<class 'sklearn.multioutput.ClassifierChain'>,sklearn.multioutput.ClassifierChain,multioutput,ClassifierChain,,
ComplementNB,<class 'sklearn.naive_bayes.ComplementNB'>,classifier,<class 'sklearn.naive_bayes.ComplementNB'>,sklearn.naive_bayes.ComplementNB,naive_bayes,ComplementNB,,
DecisionTreeClassifier,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,classifier,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,sklearn.tree._classes.DecisionTreeClassifier,tree,_classes,DecisionTreeClassifier,
DummyClassifier,<class 'sklearn.dummy.DummyClassifier'>,classifier,<class 'sklearn.dummy.DummyClassifier'>,sklearn.dummy.DummyClassifier,dummy,DummyClassifier,,
ExtraTreeClassifier,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,classifier,<class 'sklearn.tree._classes.ExtraTreeClassifier'>,sklearn.tree._classes.ExtraTreeClassifier,tree,_classes,ExtraTreeClassifier,
ExtraTreesClassifier,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,classifier,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,sklearn.ensemble._forest.ExtraTreesClassifier,ensemble,_forest,ExtraTreesClassifier,
FixedThresholdClassifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>,classifier,<class 'sklearn.model_selection._classification_threshold.FixedThresholdClassifier'>,sklearn.model_selection._classification_threshold.FixedThresholdClassifier,model_selection,_classification_threshold,FixedThresholdClassifier,
GaussianNB,<class 'sklearn.naive_bayes.GaussianNB'>,classifier,<class 'sklearn.naive_bayes.GaussianNB'>,sklearn.naive_bayes.GaussianNB,naive_bayes,GaussianNB,,
GaussianProcessClassifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>,classifier,<class 'sklearn.gaussian_process._gpc.GaussianProcessClassifier'>,sklearn.gaussian_process._gpc.GaussianProcessClassifier,gaussian_process,_gpc,GaussianProcessClassifier,
GradientBoostingClassifier,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,classifier,<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,sklearn.ensemble._gb.GradientBoostingClassifier,ensemble,_gb,GradientBoostingClassifier,
HistGradientBoostingClassifier,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,classifier,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier,ensemble,_hist_gradient_boosting,gradient_boosting,HistGradientBoostingClassifier
KNeighborsClassifier,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,classifier,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,sklearn.neighbors._classification.KNeighborsClassifier,neighbors,_classification,KNeighborsClassifier,
LabelPropagation,<class 'sklearn.semi_supervised._label_propagation.LabelPropagation'>,classifier,<class 'sklearn.semi_supervised._label_propagation.LabelPropagation'>,sklearn.semi_supervised._label_propagation.LabelPropagation,semi_supervised,_label_propagation,LabelPropagation,
LabelSpreading,<class 'sklearn.semi_supervised._label_propagation.LabelSpreading'>,classifier,<class 'sklearn.semi_supervised._label_propagation.LabelSpreading'>,sklearn.semi_supervised._label_propagation.LabelSpreading,semi_supervised,_label_propagation,LabelSpreading,
LinearDiscriminantAnalysis,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,classifier,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,discriminant_analysis,LinearDiscriminantAnalysis,,
LinearSVC,<class 'sklearn.svm._classes.LinearSVC'>,classifier,<class 'sklearn.svm._classes.LinearSVC'>,sklearn.svm._classes.LinearSVC,svm,_classes,LinearSVC,
LogisticRegression,<class 'sklearn.linear_model._logistic.LogisticRegression'>,classifier,<class 'sklearn.linear_model._logistic.LogisticRegression'>,sklearn.linear_model._logistic.LogisticRegression,linear_model,_logistic,LogisticRegression,
LogisticRegressionCV,<class 'sklearn.linear_model._logistic.LogisticRegressionCV'>,classifier,<class 'sklearn.linear_model._logistic.LogisticRegressionCV'>,sklearn.linear_model._logistic.LogisticRegressionCV,linear_model,_logistic,LogisticRegressionCV,
