Process,Categorization,Word,Definition
ML Project,Process Step,Goal Setting,"Establish a clear, concise and explicit goal for the project. While ideally the goal will be defined in terms of Key Performance Indicators, when the work is truly explorative or borne in the spirt of true experiementation, it is still critical to establish guardrails, and get everyone to agree. Additional, there needs to be a deliverable, again even if vague, a deliverable needs to be agreed upon and structured in some format to insure that all parties have appropriately managed expectations.

There should be no more than 3 Goals (Flexible), the goals should be SMART and explicitly acknowledged and supported by the "
ML Project,Process Step,Problem Definition,"A Clear, Concise and explicit definition of the problem at hand, or a ""Problem Statement"". A problem statement should be simple, and include at a minimum 5 items; a 1) current state analysis, 2) root cause assessment, 3) historical overview of what has been done, 4) metrics quantifying the current state (baseline), and 5) metrics quantifying (or providing insight into the desired state). 

Proceed with extreme caution where the problem statement is incomplete, or ill-stated, as this is likely indicative that the problem is not truly understood or at a minimum defined. Where this is the case, the project will be at extreme risk the likelihood of change to project purpose, scope or priority likely."
ML Project,Process Step,Data Collection,"Data collection involves identifying, sourcing, and acquiring the datasets required to solve the defined problem. This may include internal databases, APIs, logs, third-party data, or manually collected data. Key considerations include data availability, coverage, granularity, freshness, and legal or privacy constraints. The quality and relevance of collected data fundamentally limit the ceiling of model performance.

Need to understand the data available to solve a problem, insure that it's documented, understood and trusted. Need to identify, not only information which is available, but information which is not available and should be.  This should be explicitly documented, referenced constantly and readily available (Semantic and Functional Definition).
"
ML Project,Process Step,Data Preparation,"Data preparation focuses on cleaning and structuring raw data into a usable format for modeling. This includes handling missing values, correcting errors, standardizing formats, encoding categorical variables, and aligning labels with features. It also often involves train/validation/test splitting to prevent data leakage. This step is critical because most models assume clean, well-structured inputs and are highly sensitive to data issues.

Need to establish up a consistent, robust and repeatable data ingestion process, which starts at the outset of the project. Where the infrastructure is not immediately available, need to clearly document the journey.  Need to call out requirements, expectations and limitations, and where resources are necessary, they should be identified at this point. 

Where operational changes are necessary, or a prerequisite, need to understand how these will documented and escalated or addressed."
ML Project,Process Step,Exploratory Data Analysis,"Foundational step in ensuring the success of a machine learning model—and, by extension, the overall project. Its purpose is to confirm that the data is appropriately structured, consistent, and of sufficient quality to support reliable modeling.

While every dataset and project is unique, applying a consistent EDA approach helps reduce the laborious and time-consuming nature of data preparation. A structured process enables quicker identification of data issues, improves understanding of key variables and relationships, and creates a more stable foundation for subsequent modeling decisions. "
ML Project,Process Step,Feature Engineering,"Process of creating new input variables that better represent the underlying patterns in the data. It may include transformations (log, scaling), aggregations, interactions, temporal features, or domain-specific encodings. Effective feature engineering can significantly improve model performance even with simple algorithms. It embeds domain knowledge into the model and often provides more value than algorithmic complexity.  It is often one of the most impactful steps in the machine learning workflow."
ML Project,Process Step,Feature Selection,"Process of identifying and retaining the most relevant variables for model training while removing redundant, noisy, or irrelevant features. This helps reduce overfitting, improve model performance, and increase interpretability. Feature selection techniques may be statistical, model-based, or embedded within the learning algorithm. The goal is to create a simpler, more robust feature set that generalizes well to new data.

It is important to be in a position to Logically and Mathematically be in a position to defend inclusion and exclusion decisions. Although a highly technical step, it is critically important that stakeholders and partners are included and in references and terms which are appropriate for them."
ML Project,Process Step,Validation/ Model Selection,"The process of choosing the most appropriate algorithm or model type for a given problem and dataset. This decision is based on factors such as data size, feature structure, interpretability needs, computational constraints, and performance requirements. Multiple candidate models are often tested and compared using consistent evaluation methods. The objective is to identify the model that provides the best balance between accuracy, stability, and practical usability.

Similiar to the process of engagement and audit followed in Feature Selection, it is critically important that actions are documented, defensable and clearly and consistently articulated to stakeholders in a meaningful manner."
ML Project,Process Step,Training,"Process of fitting a machine learning model to data so it can learn the relationships between input features and the target variable. During training, the model adjusts its internal parameters to minimize a loss function. This step typically occurs on a designated training dataset. The quality of training directly affects the model’s ability to generalize to new, unseen data."
ML Project,Process Step,Hyperparameter Tuning,"Optimizing the configuration settings that control how a model learns, rather than the parameters learned during training. These settings, such as tree depth or regularization strength, can significantly influence model performance and stability. Tuning is typically done using methods like grid search, random search, or Bayesian optimization. The goal is to identify the hyperparameter combination that produces the best validation performance."
