Function,Purpose,Parameters,Returns,date_created,date_last_modified,classification,sub_classification,usage,Folder
inspect_function,Function which Reads the Document String of a Python Function,['function_name'],Object Type,15-Dec-25,15-Dec-25,TBD,TBD,"from utility_functions import InspectFunction
InspectFunction(InspectFunction)",utility_functions.py
view_df,Function which helps to set default Visualization View in Pandads. Can be applied to a dataframe specifically or the current Session,"['df', 'update_decimal']",Object Type,15-Dec-25,15-Dec-25,TBD,TBD,ViewDf(df),utility_functions.py
password_generator,Function to Create a Randomly Generated Password.,"['minimum', 'maximum']",Object Type,15-Dec-25,15-Dec-25,TBD,TBD,password_generator(),utility_functions.py
dict_to_dataframe,Function to Simplify the creation of a Dictionary into a Dataframe into a single Command.,"['dict_', 'key_name', 'value_name']",Dataframe,4-Dec-25,4-Dec-25,TBD,TBD,temp_df = dict_to_dataframe(dict),dict_processing.py
flatten_clean_dict,"Function which takes a Nested Dictionary (Dictionary, which references dictionary, and converts it into a DataFrame, works best when
Dictionary ultimate Values are List.","['dict_', 'index_name', 'clean', 'apply_new_lvl', 'high_low_list_fix']",DataFrame,30-Dec-25,30-Dec-25,TBD,TBD,"from synthetic_member import mbr_profile_dict
flatten_clean_dict (mbr_profile_dict)",dict_processing.py
read_directory,Function which reads reads a directory and returns a list of files included within,"['location', 'file_type', 'match_str']",Dataframe containing a listing of selected files.,3-Dec-25,3-Dec-25,TBD,TBD,"d_py_function =  '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/'
read_directory(d_py_function)",shared_folder.py
text_file_import,Function Used to Import .txt or .py File into Python.,"['file_name', 'encoding']",Str,3-Dec-25,3-Dec-25,TBD,TBD,"location = '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/DFProcessing.py'
file = TextFileImport(location)",shared_folder.py
parse_dot_py_file,"Function which reads a Python file (as text) and provides a summary of
functions and their components, using a structured docstring format.",['file_text'],function_list (DataFrame): One row per function with metadata. function_parameters (DataFrame): One row per parameter per function.,4-Dec-25,4-Dec-25,TBD,TBD,"function_list, function_parameters = ParseDDotPYFile(file_text)",shared_folder.py
list_to_dataframe,Function to Simplify the creation of a Dictionary into a Dataframe into a single Command.,"['list_', 'column_name_list']",Object Type,4-Dec-25,4-Dec-25,TBD,TBD,temp_df = list_to_dataframe(dict),list_processing.py
random_uniform_normalized_list,"Function to create a list of RNG numbers for the purposes of creating a distribution.
Values equal 1.","['n', 'skew']",list,29-Dec-25,29-Dec-25,TBD,TBD,create_distribution_weight(5),list_processing.py
random_choice_from_uniform_list,"Create a random generate list from provided inputs. List is of length as defined in total records, the name of the records is defined in name.
The distribution of values is conditionally determined by either distinct entities, or the distribution as provided in list_distribution.","['total_records', 'name', 'distinct_entities', 'list_distribution', 'return_value', 'skew']",list if return_value is 'df' then DataFrame,29-Dec-25,29-Dec-25,TBD,TBD,"random_choice_from_uniform_list(unique_records=40,name='BRANCHNAME',LEGACY=[.5,.15,.3,.05])",list_processing.py
import_d_google_sheet,"Function Which Extracts a DataFrame from D's Google Sheets, using the Map as provided in Google Mapping Sheet",['definition'],Dataframe (Dict is value is not try condition fails).,12-Dec-25,12-Dec-25,TBD,TBD,Example Function Call,connections.py
read_git_folder,"Program to Extract .py files from a Git Directory.
Parameters borrowed from Git Mapping Structure, https://github.com/owner/repo/tree/branch/folder","['owner', 'repo', 'branch', 'folder']",dictionary,15-Dec-25,15-Dec-25,TBD,TBD,py_files_in_git_folder = read_git_folder(),connections.py
read_git_file,Read the contents of a single public GitHub file.,['git_url'],List,15-Dec-25,15-Dec-25,TBD,TBD,read_git_file('https://raw.githubusercontent.com/derek-dewald/Python_Tools/main/d_py_functions/Connections.py'),connections.py
